Site;SousSite;Suivi;ilot;NomParcelle;Surface expé (ha);Surface réelle champ (ha);annee_2017;annee_2018;annee_2019;annee_2020;annee_2021;annee_2022;annee_2023;annee_2024;annee_2025
03N_CHAMIGNON;innovant;;;Grand Champs ;;15,82;;;;;Blé;Colza;Maïs;Blé;Colza
03N_CHAMIGNON;innovant;sol;;Tortereau;;11,44;;;;;Luzerne;Luzerne;Luzerne;Maïs;Blé
03N_CHAMIGNON;innovant;;;Carelles;;10,17;;;;;Maïs;Blé;Colza;Luzerne;Luzerne
03N_CHAMIGNON;innovant;;;Champs Bonneau;;4,95;;;;;Colza;Maïs;Blé;Colza ;Maïs
63E_DUCROS;innovant;;;Les Cartes;;5,26;;;;Orge + dérobée;Méteil + PT;PT;PT;PT;Maïs
63E_DUCROS;innovant;;;Brugière devant maison;;5,91;;;;Orge + dérobée;PT ou céréales ? ;PT;PT;PT;Maïs
63E_DUCROS;innovant;sol;;La Garenne;;2,13;;;;Triticale;avoine;Céréales + dérobée;Méteil + PT;PT;PT
63E_DUCROS;innovant;;;La Brruyère;;5,06;;;;PT avec sursemis TV;PT ou maïs (selon sursemis);Maïs ou céréale + dérobée ?;Céréale + dérobée;Méteil PT;PT
63E_DUCROS;innovant;;;Parc à moutons;;3,52;;;;PT;Maïs ou orge + dérobée;Céréale + dérobée;Méteil PT;PT;PT
03S_DEVILLE;innovant;;;Le Grand Domaine;16,80;16,80;Luzerne;Luzerne;Luzerne;Blé;Colza associé;;;;
03S_DEVILLE;innovant;;;La Rouche;4,00;33,00;Maïs fourrage;Blé;Luzerne;Luzerne;Luzerne;;;;
03S_DEVILLE;innovant;;;Champ Picat;2,00;17,40;Blé associé;Maïs;Blé;Luzerne;Luzerne;;;;
03S_DEVILLE;innovant;sol;;Le Bouchonnet;33,90;33,90;Colza associé;Blé associé;Maïs;Blé;Luzerne;;;;
03S_DEVILLE;innovant;;;Derrière bureau;4,00;4,00;blé;Colza associé;Blé associé;Maïs;Blé;;;;
43O_LARGER;innovant;sol;;Perouet Clément (ilot 51);3,88;;Luzerne;Luzerne;Luzerne;Blé;Méteil;;;;
43O_LARGER;innovant;;;Perouet Colomb (ilot 91);1,50;;Blé;Méteil;Orge;Luzerne;Luzerne;;;;
43O_LARGER;innovant;;;Vieux Delat (ilot 40);0,72;;Luzerne;Luzerne;Luzerne;Luzerne;Blé;;;;
43O_LARGER;innovant;;;Chaland (ilot 6);0,67;;Orge;Luzerne;Luzerne;Luzerne;Luzerne;;;;
63N_CHAMBON;innovant;;;Champ Caillet;1,80;;Blé;Pois d'hiver;Maïs;Blé;Lin;;;;
63N_CHAMBON;innovant;;;La Gane;2,48;;Tournesol;Blé;Pois d'hiver;Maïs;Blé;;;;
63N_CHAMBON;innovant;;;L’étang;3,34;;Maïs;Blé;Lin;Blé;Pois d'hiver;;;;
63N_CHAMBON;innovant;;;Les Moulards;1,83;;Pois d'hiver;Maïs;Blé;Lin;Blé;;;;
63N_CHAMBON;innovant;sol;;La Ravière;3,83;;Blé;Lin;Blé;Pois d'hiver;Maïs;;;;
63S_MANLHIOT;innovant;;;Le Paratier;3,81;;Blé;Blé;Colza;Blé;Tournesol;;;;
63S_MANLHIOT;innovant;;;Rougnat;4,30;;Blé;Tournesol;Blé;Blé;Colza;;;;
63S_MANLHIOT;innovant;;;Le Colombier;6,87;;Colza;Blé;Tournesol;Blé;Lentille;;;;
63S_MANLHIOT;innovant;sol;;Usson;2,99;;Lentille;Colza;Blé;Tournesol;blé tendre d'hiver;;;;
63S_MANLHIOT;innovant;;;La Chaux;0,97;;Tournesol;Blé;Lentille;Colza;Blé;;;;
43E_BONNEVIALLE;innovant;;3;1;;;;;;;Mélange céréales;;;;
43E_BONNEVIALLE;innovant;;3;18;;;;;;;Maïs ensillage;;;;
43E_BONNEVIALLE;innovant;;3;10;;;;;;;Maïs ensillage;;;;
43E_BONNEVIALLE;innovant;;3;11;;;;;;;Maïs ensillage;;;;
43E_BONNEVIALLE;innovant;;3;4;;;;;;;PT mel légum>50%;;;;
43E_BONNEVIALLE;innovant;;3;7;;;;;;;PT <5 ans;;;;
43E_BONNEVIALLE;innovant;;3;8;;;;;;;PT <5 ans;;;;
43E_BONNEVIALLE;innovant;;3;14;;;;;;;PT <5 ans;;;;
43E_BONNEVIALLE;innovant;;3;15;;;;;;;PT <5 ans;;;;
43E_BONNEVIALLE;innovant;;3;16;;;;;;;PT <5 ans;;;;
43E_BONNEVIALLE;innovant;;3;17;;;;;;;PT <5 ans;;;;
43E_BONNEVIALLE;innovant;;3;3;;;;;;;bois paturé;;;;
43E_BONNEVIALLE;innovant;;3;2;;;;;;;PP PN;;;;
43E_BONNEVIALLE;innovant;;3;5;;;;;;;PP PN;;;;
43E_BONNEVIALLE;innovant;;3;9;;;;;;;PP PN;;;;
43E_BONNEVIALLE;innovant;;3;13;;;;;;;PP PN;;;;
43E_BONNEVIALLE;innovant;;3;6;;;;;;;Prairie rotation longue;;;;
43E_BONNEVIALLE;innovant;;3;12;;;;;;;Prairie rotation longue;;;;
